Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
ECL,"Ecolab, Inc",Basic Materials,Specialty Chemicals,USA,73880000000.0,35.44,260.57,0.0034999999999999996,268694.0
ED,"Consolidated Edison, Inc",Utilities,Utilities - Regulated Electric,USA,37380000000.0,19.15,103.75,0.0032,573278.0
EFX,"Equifax, Inc",Industrials,Consulting Services,USA,32659999999.999996,53.71,262.99,-0.0016,215710.0
EIX,Edison International,Utilities,Utilities - Regulated Electric,USA,21750000000.0,8.02,56.54,0.005699999999999999,560331.0
EL,"Estee Lauder Cos., Inc",Consumer Defensive,Household & Personal Products,USA,22760000000.0,,63.26,-0.018000000000000002,1225089.0
ELS,Equity Lifestyle Properties Inc,Real Estate,REIT - Residential,USA,12700000000.0,33.92,63.42,0.0004,396477.0
ELV,Elevance Health Inc,Healthcare,Healthcare Plans,USA,83920000000.0,14.49,371.43,-0.034,1382884.0
EMR,Emerson Electric Co,Industrials,Specialty Industrial Machinery,USA,66140000000.0,28.06,117.58,0.002,1352053.0
ENB,Enbridge Inc,Energy,Oil & Gas Midstream,Canada,99960000000.0,23.57,45.85,0.015,1135162.0
ENTG,Entegris Inc,Technology,Semiconductor Equipment & Materials,USA,10890000000.0,35.2,71.93,-0.017,1195942.0
EOG,"EOG Resources, Inc",Energy,Oil & Gas E&P,USA,60130000000.0,10.22,110.17,-0.005600000000000001,976690.0
EPD,Enterprise Products Partners L P,Energy,Oil & Gas Midstream,USA,67989999999.99999,11.78,31.35,-0.0014000000000000002,1002341.0
EQH,Equitable Holdings Inc,Financial,Asset Management,USA,15810000000.0,14.15,52.04,-0.0017000000000000001,404061.0
EQNR,Equinor ASA ADR,Energy,Oil & Gas Integrated,Norway,64970000000.0,7.5,23.76,0.0111,1153935.0
EQR,Equity Residential Properties Trust,Real Estate,REIT - Residential,USA,26480000000.0,26.38,67.6,-0.0102,522696.0
EQT,EQT Corp,Energy,Oil & Gas E&P,USA,33460000000.0,96.38,55.89,0.0036,2517518.0
ERIC,Telefonaktiebolaget L M Ericsson ADR,Technology,Communication Equipment,Sweden,26590000000.0,187.45,8.66,-0.0125,19688648.0
ES,Eversource Energy,Utilities,Utilities - Regulated Electric,USA,23190000000.0,27.25,63.11,0.0008,510065.0
ET,Energy Transfer LP,Energy,Oil & Gas Midstream,USA,61530000000.0,13.5,17.93,0.0028000000000000004,3829882.0
ETN,Eaton Corporation plc,Industrials,Specialty Industrial Machinery,Ireland,125780000000.0,32.45,321.44,0.0012,703005.0
ETR,Entergy Corp,Utilities,Utilities - Regulated Electric,USA,35510000000.0,26.75,82.44,0.0143,569557.0
EVRG,Evergy Inc,Utilities,Utilities - Regulated Electric,USA,15110000000.0,17.31,65.69,-0.0034999999999999996,558620.0
EW,Edwards Lifesciences Corp,Healthcare,Medical Devices,USA,43900000000.0,50.0,74.83,0.0005,1921918.0
EWBC,"East West Bancorp, Inc",Financial,Banks - Regional,USA,12480000000.0,10.8,90.53,-0.0045000000000000005,149710.0
EXAS,Exact Sciences Corp,Healthcare,Diagnostics & Research,USA,10710000000.0,,56.78,0.0054,1106534.0
EXC,Exelon Corp,Utilities,Utilities - Regulated Electric,USA,43820000000.0,16.11,43.41,-0.0002,3080149.0
EXE,Expand Energy Corp,Energy,Oil & Gas E&P,USA,27510000000.0,,115.61,0.010700000000000001,528152.0
EXEL,Exelixis Inc,Healthcare,Biotechnology,USA,11600000000.0,19.3,42.54,-0.0075,966925.0
EXPD,"Expeditors International Of Washington, Inc",Industrials,Integrated Freight & Logistics,USA,15470000000.0,18.76,112.97,-0.0063,449591.0
EXPE,Expedia Group Inc,Consumer Cyclical,Travel Services,USA,20280000000.0,18.8,159.56,-0.0072,677568.0
EXR,Extra Space Storage Inc,Real Estate,REIT - Industrial,USA,32210000000.0,33.79,145.37,0.0040999999999999995,161993.0
F,Ford Motor Co,Consumer Cyclical,Auto Manufacturers,USA,41220000000.0,8.31,10.36,-0.0072,51463017.0
FANG,Diamondback Energy Inc,Energy,Oil & Gas E&P,USA,39710000000.0,8.31,135.9,-0.0028000000000000004,713784.0
FAST,Fastenal Co,Industrials,Industrial Distribution,USA,46920000000.0,40.8,40.9,0.0045000000000000005,1585845.0
FCX,Freeport-McMoRan Inc,Basic Materials,Copper,USA,55770000000.0,32.05,38.83,0.0301,8545282.0
FDX,Fedex Corp,Industrials,Integrated Freight & Logistics,USA,51990000000.0,13.62,216.99,-0.0083,605515.0
FE,Firstenergy Corp,Utilities,Utilities - Regulated Electric,USA,24190000000.0,22.3,41.91,-0.0019,1384000.0
FERG,Ferguson Enterprises Inc,Industrials,Industrial Distribution,USA,35490000000.0,21.98,178.61,-0.0038,634368.0
FHN,First Horizon Corporation,Financial,Banks - Regional,USA,10050000000.0,13.83,19.82,0.003,2250219.0
FI,"Fiserv, Inc",Technology,Information Technology Services,USA,88380000000.0,28.2,159.4,-0.012,3297735.0
FIS,"Fidelity National Information Services, Inc",Technology,Information Technology Services,USA,41150000000.0,49.0,78.32,-0.0002,606928.0
FITB,Fifth Third Bancorp,Financial,Banks - Regional,USA,24880000000.0,11.84,37.28,-0.0063,1374905.0
FLEX,Flex Ltd,Technology,Electronic Components,USA,15410000000.0,19.55,41.28,-0.004,1044650.0
FLUT,Flutter Entertainment Plc,Consumer Cyclical,Gambling,USA,42640000000.0,83.39,241.31,0.0132,453858.0
FNF,Fidelity National Financial Inc,Financial,Insurance - Specialty,USA,14830000000.0,13.34,53.99,0.0069,418673.0
FNV,Franco-Nevada Corporation,Basic Materials,Gold,Canada,32450000000.000004,52.56,168.43,0.0268,262930.0
FOX,Fox Corporation,Communication Services,Entertainment,USA,23580000000.0,12.51,50.32,-0.0037,306558.0
FOXA,Fox Corporation,Communication Services,Entertainment,USA,23590000000.0,13.62,54.79,-0.0034000000000000002,1162157.0
FSLR,First Solar Inc,Technology,Solar,USA,17260000000.0,13.69,160.98,0.0296,2173832.0
FTAI,FTAI Aviation Ltd,Industrials,Rental & Leasing Services,USA,11670000000.0,557.64,113.82,0.0078000000000000005,378736.0
FTI,TechnipFMC plc,Energy,Oil & Gas Equipment & Services,USA,12420000000.0,15.63,29.62,0.002,1005778.0
FTNT,Fortinet Inc,Technology,Software - Infrastructure,USA,78840000000.0,42.4,103.0,-0.006,1663511.0
FTV,Fortive Corp,Technology,Scientific & Technical Instruments,USA,23770000000.0,30.71,69.95,-0.0029,1060792.0
FUTU,Futu Holdings Ltd ADR,Financial,Capital Markets,Hong Kong,10600000000.0,22.43,111.83,0.0034999999999999996,773156.0
FWONK,Liberty Media Corp,Communication Services,Entertainment,USA,30930000000.0,,97.47,0.0027,209035.0
GAP,"Gap, Inc",Consumer Cyclical,Apparel Retail,USA,10840000000.0,13.07,28.77,-0.004,4596896.0
GD,General Dynamics Corp,Industrials,Aerospace & Defense,USA,73780000000.0,19.08,274.9,-0.0077,300725.0
GDDY,Godaddy Inc,Technology,Software - Infrastructure,USA,26240000000.0,35.35,184.15,0.001,279447.0
GE,GE Aerospace,Industrials,Aerospace & Defense,USA,248630000000.0,36.36,233.15,0.0125,2138236.0
GEHC,GE HealthCare Technologies Inc,Healthcare,Medical Devices,USA,31480000000.0,14.45,68.74,-0.0101,1001704.0
GEN,Gen Digital Inc,Technology,Software - Infrastructure,USA,17160000000.0,26.86,27.67,-0.0031,1784834.0
GEV,GE Vernova Inc,Industrials,Specialty Industrial Machinery,USA,127770000000.0,66.81,468.14,0.0203,2013505.0
GFI,Gold Fields Ltd ADR,Basic Materials,Gold,South Africa,20720000000.0,17.04,23.15,0.0501,1678908.0
GFL,GFL Environmental Inc,Industrials,Waste Management,Canada,18010000000.0,,49.12,0.0068000000000000005,276778.0
GFS,GlobalFoundries Inc,Technology,Semiconductors,USA,20160000000.0,,36.46,-0.0271,470143.0
GILD,"Gilead Sciences, Inc",Healthcare,Drug Manufacturers - General,USA,133350000000.0,22.54,107.2,0.0043,2238159.0
GIS,"General Mills, Inc",Consumer Defensive,Packaged Foods,USA,29120000000.0,11.68,53.17,-0.0032,1805494.0
GLPI,Gaming and Leisure Properties Inc,Real Estate,REIT - Specialty,USA,12690000000.0,16.35,46.16,0.0029,372645.0
GLW,"Corning, Inc",Technology,Electronic Components,USA,41470000000.0,92.64,48.42,-0.0028000000000000004,1520491.0
GM,General Motors Company,Consumer Cyclical,Auto Manufacturers,USA,47050000000.0,7.05,48.94,-0.006999999999999999,2262160.0
GMAB,Genmab ADR,Healthcare,Biotechnology,Denmark,12730000000.0,11.75,20.72,-0.015,567027.0
GME,Gamestop Corporation,Consumer Cyclical,Specialty Retail,USA,14460000000.0,121.69,32.32,0.0473,20557852.0
GOOG,Alphabet Inc,Communication Services,Internet Content & Information,USA,2068199999999.9998,19.07,171.04,-0.0055000000000000005,13492620.0
GOOGL,Alphabet Inc,Communication Services,Internet Content & Information,USA,2066420000000.0,18.93,169.79,-0.0063,20389906.0
GPC,Genuine Parts Co,Consumer Cyclical,Auto Parts,USA,17520000000.0,20.73,126.22,-0.0052,292216.0
GPN,"Global Payments, Inc",Technology,Software - Infrastructure,USA,18150000000.0,12.01,74.41,-0.0173,621461.0
GRAB,Grab Holdings Limited,Technology,Software - Application,Singapore,20310000000.0,1038.54,4.99,0.005,8430658.0
GRMN,Garmin Ltd,Technology,Scientific & Technical Instruments,Switzerland,38710000000.0,26.48,201.03,-0.0027,233277.0
GS,"Goldman Sachs Group, Inc",Financial,Capital Markets,USA,184250000000.0,13.94,600.46,0.0037,834947.0
GSK,GSK Plc ADR,Healthcare,Drug Manufacturers - General,United Kingdom,78640000000.0,20.15,38.82,-0.0027,1777099.0
H,Hyatt Hotels Corporation,Consumer Cyclical,Lodging,USA,12210000000.0,16.58,127.9,0.0028000000000000004,178528.0
HAL,Halliburton Co,Energy,Oil & Gas Equipment & Services,USA,17050000000.0,8.31,19.83,-0.0064,3911199.0
HBAN,"Huntington Bancshares, Inc",Financial,Banks - Regional,USA,22410000000.0,11.86,15.39,-0.0029,15356818.0
HCA,HCA Healthcare Inc,Healthcare,Medical Care Facilities,USA,90520000000.0,16.72,376.28,-0.0009,431797.0
HD,"Home Depot, Inc",Consumer Cyclical,Home Improvement Retail,USA,361500000000.0,24.68,363.71,-0.0066,1127363.0
HDB,HDFC Bank Ltd. ADR,Financial,Banks - Regional,India,188820000000.0,22.57,73.97,0.0172,812609.0
HES,Hess Corporation,Energy,Oil & Gas E&P,USA,40400000000.0,18.09,130.62,0.004699999999999999,673415.0
HIG,Hartford Insurance Group Inc.(The),Financial,Insurance - Property & Casualty,USA,36660000000.0,12.86,129.03,-0.0001,676143.0
HIMS,Hims & Hers Health Inc,Consumer Defensive,Household & Personal Products,USA,12190000000.0,79.3,54.48,0.0179,17258274.0
HLN,Haleon plc ADR,Healthcare,Drug Manufacturers - Specialty & Generic,United Kingdom,50420000000.0,27.84,11.18,0.0108,13537878.0
HLT,Hilton Worldwide Holdings Inc,Consumer Cyclical,Lodging,USA,58350000000.0,38.72,245.48,-0.004699999999999999,429230.0
HMC,Honda Motor ADR,Consumer Cyclical,Auto Manufacturers,Japan,42620000000.0,8.42,29.42,-0.0034000000000000002,176988.0
HOLX,"Hologic, Inc",Healthcare,Medical Instruments & Supplies,USA,12010000000.0,22.77,53.92,-0.0104,606425.0
HON,Honeywell International Inc,Industrials,Conglomerates,USA,142980000000.0,25.55,222.48,-0.0051,1158126.0
HOOD,Robinhood Markets Inc,Financial,Capital Markets,USA,56270000000.0,36.39,63.76,-0.015600000000000001,18718133.0
HPE,Hewlett Packard Enterprise Co,Technology,Communication Equipment,USA,22830000000.0,8.6,17.38,-0.0098,4668105.0
HPQ,HP Inc,Technology,Computer Hardware,USA,26310000000.0,10.03,27.91,-0.0206,3838495.0
HRL,Hormel Foods Corp,Consumer Defensive,Packaged Foods,USA,16160000000.0,21.33,29.39,-0.0022,1089762.0
HSBC,HSBC Holdings plc ADR,Financial,Banks - Diversified,United Kingdom,209020000000.0,10.99,59.33,-0.0013,1029309.0
HST,Host Hotels & Resorts Inc,Real Estate,REIT - Hotel & Motel,USA,10220000000.0,15.28,14.73,-0.0064,2949749.0
HSY,Hershey Company,Consumer Defensive,Confectioners,USA,31220000000.0,19.01,154.1,0.0016,890765.0
HTHT,H World Group Limited ADR,Consumer Cyclical,Lodging,China,11230000000.0,26.15,36.43,0.0275,998049.0
HUM,Humana Inc,Healthcare,Healthcare Plans,USA,27000000000.0,15.82,223.67,-0.015300000000000001,812885.0
HWM,Howmet Aerospace Inc,Industrials,Aerospace & Defense,USA,66860000000.0,54.0,165.62,0.016,676751.0
IBKR,Interactive Brokers Group Inc,Financial,Capital Markets,USA,87860000000.0,28.7,207.9,0.005699999999999999,315658.0
IBM,International Business Machines Corp,Technology,Information Technology Services,USA,241150000000.0,44.63,259.47,0.0043,1477143.0
IBN,ICICI Bank Ltd. ADR,Financial,Banks - Regional,India,122460000000.0,20.86,34.35,0.017,3071894.0
ICE,Intercontinental Exchange Inc,Financial,Financial Data & Stock Exchanges,USA,101190000000.0,36.53,176.41,0.0139,1101842.0
ICLR,Icon Plc,Healthcare,Diagnostics & Research,Ireland,10290000000.0,13.86,127.37,0.003,511696.0
IFF,International Flavors & Fragrances Inc,Basic Materials,Specialty Chemicals,USA,19170000000.0,,74.95,-0.0102,423423.0
ILMN,Illumina Inc,Healthcare,Diagnostics & Research,USA,12650000000.0,,79.94,-0.0074,711059.0
INCY,Incyte Corp,Healthcare,Biotechnology,USA,12450000000.0,199.07,64.34,-0.0026,356878.0
INFY,Infosys Ltd ADR,Technology,Information Technology Services,India,75540000000.0,23.9,18.18,0.008,5412258.0
ING,ING Groep N.V. ADR,Financial,Banks - Diversified,Netherlands,64450000000.0,,21.13,-0.013600000000000001,1588770.0
INSM,Insmed Inc,Healthcare,Biotechnology,USA,12310000000.0,,67.61,0.0218,678400.0
INTC,Intel Corp,Technology,Semiconductors,USA,87870000000.0,,20.15,-0.0197,41147679.0
INTU,Intuit Inc,Technology,Software - Application,USA,201480000000.0,58.64,720.68,0.08199999999999999,3932893.0
INVH,Invitation Homes Inc,Real Estate,REIT - Residential,USA,20190000000.0,95.87,32.94,-0.0048,778961.0
IONQ,IonQ Inc,Technology,Computer Hardware,USA,11740000000.0,,47.39,0.0349,39592207.0
IOT,Samsara Inc,Technology,Software - Infrastructure,USA,26190000000.0,,46.01,-0.0029,618270.0
IP,International Paper Co,Consumer Cyclical,Packaging & Containers,USA,25220000000.0,40.72,47.77,-0.0178,977588.0
IQV,IQVIA Holdings Inc,Healthcare,Diagnostics & Research,USA,23590000000.0,18.59,136.38,-0.0121,891143.0
IR,Ingersoll-Rand Inc,Industrials,Specialty Industrial Machinery,USA,32570000000.0,39.91,80.72,-0.0059,1888243.0
IRM,Iron Mountain Inc,Real Estate,REIT - Specialty,USA,28380000000.0,234.46,96.2,0.0042,353193.0
ISRG,Intuitive Surgical Inc,Healthcare,Medical Instruments & Supplies,USA,194230000000.0,79.49,541.9,-0.0014000000000000002,518956.0
ITUB,Itau Unibanco Holding S.A. ADR,Financial,Banks - Regional,Brazil,35410000000.0,9.54,6.64,0.0053,27777650.0
ITW,"Illinois Tool Works, Inc",Industrials,Specialty Industrial Machinery,USA,70960000000.0,21.32,242.18,-0.0103,324154.0
JBHT,"J.B. Hunt Transport Services, Inc",Industrials,Integrated Freight & Logistics,USA,13690000000.0,25.05,137.98,-0.0076,306591.0
JBL,Jabil Inc,Technology,Electronic Components,USA,17800000000.0,39.73,165.8,0.0042,209995.0
JCI,Johnson Controls International plc,Industrials,Building Products & Equipment,Ireland,64379999999.99999,26.09,97.84,-0.0009,1106956.0
JD,JD.com Inc ADR,Consumer Cyclical,Internet Retail,China,43320000000.0,8.17,33.49,-0.0060999999999999995,3965187.0
JEF,Jefferies Financial Group Inc,Financial,Capital Markets,USA,10060000000.0,16.9,48.77,-0.0025,332475.0
JHX,James Hardie Industries plc ADR,Basic Materials,Building Materials,Ireland,10090000000.0,24.01,23.47,-0.0124,1427444.0
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,USA,368080000000.0,17.01,152.98,0.0024,3055770.0
JNPR,Juniper Networks Inc,Technology,Communication Equipment,USA,12000000000.0,34.31,35.9,-0.0021,668545.0
JPM,JPMorgan Chase & Co,Financial,Banks - Diversified,USA,725860000000.0,12.82,261.19,0.002,3418853.0
K,Kellanova,Consumer Defensive,Packaged Foods,USA,28540000000.0,20.73,82.28,0.0024,1031961.0
KDP,Keurig Dr Pepper Inc,Consumer Defensive,Beverages - Non-Alcoholic,USA,44750000000.0,29.84,32.94,-0.002,3622024.0
KEY,Keycorp,Financial,Banks - Regional,USA,17200000000.0,,15.69,0.0003,5519366.0
KEYS,Keysight Technologies Inc,Technology,Scientific & Technical Instruments,USA,27660000000.0,37.55,160.06,-0.0104,273770.0
KGC,Kinross Gold Corp,Basic Materials,Gold,Canada,18130000000.0,15.07,14.78,0.0207,10210650.0
KHC,Kraft Heinz Co,Consumer Defensive,Packaged Foods,USA,31100000000.0,11.91,26.28,-0.0083,5643686.0
KIM,Kimco Realty Corporation,Real Estate,REIT - Retail,USA,13890000000.0,26.84,20.53,-0.0038,1022767.0
KKR,KKR & Co. Inc,Financial,Asset Management,USA,104900000000.0,51.06,117.78,-0.0036,1516071.0
KLAC,KLA Corp,Technology,Semiconductor Equipment & Materials,USA,100240000000.0,27.55,758.02,-0.0124,467758.0
KMB,Kimberly-Clark Corp,Consumer Defensive,Household & Personal Products,USA,46900000000.0,19.26,141.35,0.011399999999999999,1348461.0
KMI,Kinder Morgan Inc,Energy,Oil & Gas Midstream,USA,61850000000.0,24.07,27.83,0.0181,4046990.0
KO,Coca-Cola Co,Consumer Defensive,Beverages - Non-Alcoholic,USA,309420000000.0,28.78,71.89,0.0105,5251577.0
KR,Kroger Co,Consumer Defensive,Grocery Stores,USA,45880000000.0,18.74,68.91,0.0141,2529567.0
KVUE,Kenvue Inc,Consumer Defensive,Household & Personal Products,USA,45560000000.0,43.27,23.73,0.0098,3642624.0
LDOS,Leidos Holdings Inc,Technology,Information Technology Services,USA,19580000000.0,15.31,152.09,-0.0392,818355.0
LEN,Lennar Corp,Consumer Cyclical,Residential Construction,USA,27520000000.0,7.64,104.87,-0.004,612668.0
LHX,L3Harris Technologies Inc,Industrials,Aerospace & Defense,USA,44410000000.0,28.15,237.55,-0.0069,979329.0
LI,Li Auto Inc ADR,Consumer Cyclical,Auto Manufacturers,China,24040000000.0,27.42,28.78,0.0038,1094723.0
LIN,Linde Plc,Basic Materials,Specialty Chemicals,United Kingdom,215960000000.0,33.29,458.79,-0.0005,528048.0
LINE,Lineage Inc,Real Estate,REIT - Industrial,USA,10360000000.0,,45.34,-0.0066,221488.0
LKQ,LKQ Corp,Consumer Cyclical,Auto Parts,USA,10390000000.0,15.05,40.26,-0.0062,750874.0
LLY,Lilly(Eli) & Co,Healthcare,Drug Manufacturers - General,USA,676800000000.0,59.16,714.12,-0.0015,1532393.0
LMT,Lockheed Martin Corp,Industrials,Aerospace & Defense,USA,109720000000.0,20.23,468.29,-0.0046,352025.0
LNG,Cheniere Energy Inc,Energy,Oil & Gas Midstream,USA,50760000000.0,16.72,228.85,0.0015,633952.0
LNT,Alliant Energy Corp,Utilities,Utilities - Regulated Electric,USA,15770000000.0,21.18,61.4,0.0031,355595.0
LOW,"Lowe's Cos., Inc",Consumer Cyclical,Home Improvement Retail,USA,123910000000.0,18.34,221.39,-0.0106,1323945.0
LRCX,Lam Research Corp,Technology,Semiconductor Equipment & Materials,USA,103700000000.0,22.59,81.07,-0.018000000000000002,3828249.0
LULU,Lululemon Athletica inc,Consumer Cyclical,Apparel Retail,Canada,39140000000.0,21.41,312.44,-0.025,928994.0
LUV,Southwest Airlines Co,Industrials,Airlines,USA,17630000000.0,36.73,30.93,-0.009000000000000001,4274456.0
LVS,Las Vegas Sands Corp,Consumer Cyclical,Resorts & Casinos,USA,28290000000.0,22.31,40.03,-0.0014000000000000002,1732771.0
LYB,LyondellBasell Industries NV,Basic Materials,Specialty Chemicals,United Kingdom,17910000000.0,17.23,55.72,-0.0108,1460652.0
LYG,Lloyds Banking Group plc ADR,Financial,Banks - Regional,United Kingdom,63990000000.0,,4.26,0.0034999999999999996,20110105.0
LYV,Live Nation Entertainment Inc,Communication Services,Entertainment,USA,33500000000.0,49.49,144.54,0.0007000000000000001,818743.0
MA,Mastercard Incorporated,Financial,Credit Services,USA,514179999999.99994,39.72,566.25,-0.0068000000000000005,885422.0
MAR,"Marriott International, Inc",Consumer Cyclical,Lodging,USA,70850000000.0,29.46,258.69,-0.0077,634789.0
MAS,Masco Corp,Industrials,Building Products & Equipment,USA,13040000000.0,16.89,61.79,-0.0141,614702.0
MBLY,Mobileye Global Inc,Consumer Cyclical,Auto Parts,Israel,12630000000.0,,15.55,-0.0275,1405605.0
MCD,McDonald's Corp,Consumer Cyclical,Restaurants,USA,225210000000.0,27.78,314.97,0.0021,1418658.0
